"auto_id","screen_size","platform_count","platform_weight"
11627,"COARSE",0,0
11474,"COARSE",1,4
11200,"COARSE",3,2
11338,"COARSE",0,0
11692,"COARSE",0,0
11411,"COARSE",0,0
11124,"COARSE",0,0
11428,"COARSE",0,0
11194,"COARSE",2,1
11456,"COARSE",0,0
1773,"COARSE",1,1
11436,"COARSE",1,1
11506,"COARSE",0,0
11105,"COARSE",2,1
11284,"COARSE",1,1
11511,"COARSE",3,7
11391,"COARSE",0,0
11096,"COARSE",0,0
11188,"COARSE",1,1
1787,"COARSE",1,4
11548,"COARSE",0,0
11452,"COARSE",0,0
10351,"COARSE",0,0
11493,"COARSE",1,2
1786,"COARSE",0,0
10355,"COARSE",1,1
11181,"COARSE",1,1
512,"COARSE",0,0
11218,"COARSE",0,0
9989,"COARSE",1,1
11223,"COARSE",0,0
10353,"COARSE",2,1
1547,"COARSE",0,0
1737,"COARSE",0,0
1757,"COARSE",0,0
1768,"COARSE",0,0
1510,"COARSE",0,0
1509,"COARSE",1,1
1514,"COARSE",0,0
1544,"COARSE",0,0
1778,"COARSE",0,0
1780,"COARSE",0,0
1802,"COARSE",0,0
1551,"COARSE",0,0
1552,"COARSE",0,0
1501,"COARSE",0,0
1803,"COARSE",0,0
994,"COARSE",2,6
1519,"COARSE",3,5
1006,"COARSE",0,0
998,"COARSE",0,0
1953,"COARSE",1,1
1785,"COARSE",0,0
1540,"COARSE",2,3
1738,"COARSE",0,0
1505,"COARSE",1,1
1507,"COARSE",1,1
1761,"COARSE",0,0
478,"COARSE",0,0
1740,"COARSE",0,0
1538,"COARSE",0,0
1747,"COARSE",0,0
1754,"COARSE",0,0
1764,"COARSE",0,0
1756,"COARSE",0,0
1497,"COARSE",0,0
1537,"COARSE",0,0
1921,"COARSE",0,0
1770,"COARSE",0,0
1776,"COARSE",0,0
1516,"COARSE",0,0
1798,"COARSE",1,1
1878,"COARSE",0,0
1745,"COARSE",0,0
4803,"COARSE",0,0
1748,"COARSE",0,0
1863,"COARSE",0,0
1515,"COARSE",0,0
1512,"COARSE",1,6
1500,"COARSE",1,1
104,"COARSE",0,0
1521,"COARSE",1,3
1779,"COARSE",0,0
282,"COARSE",1,1
1498,"COARSE",0,0
1749,"COARSE",0,0
1534,"COARSE",0,0
1732,"COARSE",1,1
1782,"COARSE",0,0
1503,"COARSE",0,0
1919,"COARSE",2,1
515,"COARSE",0,0
1922,"COARSE",0,0
1741,"COARSE",0,0
1866,"COARSE",0,0
1790,"COARSE",0,0
1520,"COARSE",0,0
1868,"COARSE",0,0
1859,"COARSE",0,0
1783,"COARSE",0,0
1860,"COARSE",1,1
1533,"COARSE",1,1
490,"COARSE",1,4
1743,"COARSE",0,0
1536,"COARSE",0,0
1541,"COARSE",0,0
1524,"COARSE",3,16
1797,"COARSE",0,0
1502,"COARSE",0,0
1528,"COARSE",0,0
517,"COARSE",1,2
110,"COARSE",3,1
1781,"COARSE",1,1
1004,"COARSE",0,0
506,"COARSE",0,0
494,"COARSE",0,0
898,"COARSE",0,0
492,"COARSE",0,0
1548,"COARSE",0,0
109,"COARSE",0,0
895,"COARSE",0,0
903,"COARSE",0,0
988,"COARSE",0,0
499,"COARSE",0,0
477,"COARSE",2,1
501,"COARSE",2,3
504,"COARSE",0,0
1000,"COARSE",3,4
