"auto_id","Unit","ID","DATACLASS","RAWMAT","SUPPORT","TECHNIQUE","FORM","FBTYPE1","FBTYPE2","CORETYPE","BIFTYPE","NORETEDGE","RETINT","T-FCHAR","T-FSURF","T-FLOC","PLATSURF","EXTPLAT","FACES","PLATFORMS","PLATTEC1","PLATTEC2","SCARMORPH","RETEDGE","CORTEX","DISCARD","EDGEDAMAGE","ALTERATION","PROXSCARS","SCARLENGTH","LENGTH","TQWIDTH","TQTHICK","MIDWIDTH","MIDTHICK","TIPWIDTH","WIDTH","LENTOWID","THICK","LENTOTHICK","ROEW1","ROET1","ROEW3","ROET3","PLATWIDTH","PLATTHICK","SMALLPW","BULB","EPA","WEIGHT"
10683,"D29",639,"COMPFLAKE","LOCALFLINT","FLAKE","CLACTON","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","DIHEDRAL","CONVEX",NA,"","","","PLAIN",NA,"0%"," ","EXTERIOR","UNALTERED",0,-9999,27.245,-9999,-9999,-9999,-9999,-9999,33.33,-9999,6.54,-9999,-9999,-9999,-9999,-9999,35.42,11.34,-9999,-9999,74,10
10876,"G27",180,"PROXFLAKE","OTHERFLINT","FLAKE","","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","FACETED","CONVEX",NA,"","","","",NA,"0%"," ","EXT/INT","UNALTERED",0,-9999,23.435,-9999,-9999,-9999,-9999,-9999,23.185,-9999,7.245,-9999,-9999,-9999,-9999,-9999,25.305,6.165,-9999,-9999,-9999,7
10769,"G42",154,"COMPFLAKE","OTHER","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","CORTICAL","",NA,"","","","",NA,""," ","NONE","UNALTERED",0,-9999,34.85,-9999,-9999,-9999,-9999,-9999,33.775,-9999,12.015,-9999,-9999,-9999,-9999,-9999,8.43,5.29,-9999,-9999,-9999,12
10706,"E29",722,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","","",NA,"","","","",NA,"90-99%"," ","EXTERIOR","UNALTERED",0,-9999,39.625,-9999,-9999,-9999,-9999,-9999,25.145,-9999,7.86,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9
12100,"E29",687,"PROXFLAKE","OTHERFLINT","FLAKE","","BLADE",-9999,-9999," ",NA,0,""," "," "," ","OTHER","",NA,"","","","UNI-DIRECT",NA,"0%"," ","INTERIOR","WHITE",0,-9999,40.85,-9999,-9999,-9999,-9999,-9999,22.645,-9999,6.555,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6
10894,"H27",213,"COMPFLAKE","","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","CONVEX",NA,"","","","",NA,"0%"," ","NONE","",0,-9999,27.475,-9999,-9999,-9999,-9999,-9999,24.485,-9999,6.025,-9999,-9999,-9999,-9999,-9999,20.58,5.485,-9999,-9999,-9999,6
10871,"E27",222,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","FACETED","CONVEX",NA,"","","","LATERAL",NA,"0%"," ","EXT/INT","UNALTERED",0,-9999,28.515,-9999,-9999,-9999,-9999,-9999,19.71,-9999,4.71,-9999,-9999,-9999,-9999,-9999,15.135,5.655,-9999,-9999,-9999,4
10849,"E27",219,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","ANGULAR",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","",NA,"","","","PLAIN",NA,"100%"," ","NONE","UNALTERED",0,-9999,25.55,-9999,-9999,-9999,-9999,-9999,24.375,-9999,7.61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7
10811,"D27",51,"COMPFLAKE","OTHERFLINT","FLAKE","NORMAL","EXPANDING",-9999,-9999," ",NA,0,""," "," "," ","PUNCTIFORM","STRAIGHT",NA,"","","","",NA,""," ","EXTERIOR","",0,-9999,37.44,-9999,-9999,-9999,-9999,-9999,22.155,-9999,6.275,-9999,-9999,-9999,-9999,-9999,5.57,2.305,-9999,-9999,-9999,6
10815,"D29",658,"COMPFLAKE","OTHERFLINT","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","","",NA,"","","","",NA,"40-60%"," ","NONE","UNALTERED",0,-9999,26.565,-9999,-9999,-9999,-9999,-9999,26.68,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7
